variant,seed,macro_auc,macro_f1_optimal,macro_f1_fixed,auc_ecg_only,auc_fused_only,auc_meta_disabled,delta_meta_auc,w_fused,auc_NORM,f1_NORM,threshold_NORM,auc_MI,f1_MI,threshold_MI,auc_STTC,f1_STTC,threshold_STTC,auc_CD,f1_CD,threshold_CD,auc_HYP,f1_HYP,threshold_HYP
none,2024,0.9262520893972702,0.7482930624169458,0.7331321604124954,0.9267117855647505,0.9262520893972702,0.9262520893972702,0.0,1.0,0.9493334342325981,0.8642822146006859,0.6349999904632568,0.9248201676963812,0.7397504456327986,0.6200000047683716,0.9331705804053257,0.7666971637694419,0.6650000214576721,0.9163495981956712,0.7529880478087649,0.6349999904632568,0.9075866664563749,0.6177474402730375,0.6200000047683716
none,2025,0.9274215027439329,0.7458985716289546,0.7313869082548449,0.9275968737204281,0.9274215027439329,0.9274215027439329,0.0,1.0,0.9484051609973891,0.8643067846607669,0.6200000047683716,0.9246855692850839,0.7353433835845896,0.5450000166893005,0.9370620006249163,0.7655677655677655,0.6050000190734863,0.917589837382965,0.7538619979402678,0.7099999785423279,0.9093649454293105,0.6104129263913824,0.6800000071525574
none,2026,0.9278570371571403,0.7426379690922107,0.7346227256688418,0.9279625378747121,0.9278570371571403,0.9278570371571403,0.0,1.0,0.9479107546003759,0.8614945264159923,0.5299999713897705,0.9233362753751104,0.7148217636022514,0.6349999904632568,0.9363443769550094,0.776255707762557,0.6650000214576721,0.9195017247261287,0.7510288065843621,0.7099999785423279,0.912192054129077,0.6095890410958904,0.6499999761581421
none,2027,0.9274166168842193,0.7413850709015681,0.7289073805188767,0.9274089469924091,0.9274166168842193,0.9274166168842193,0.0,1.0,0.9476500981665762,0.8507253158633599,0.45500001311302185,0.9257634598411297,0.7256317689530686,0.6349999904632568,0.9350075596560443,0.7773722627737226,0.6349999904632568,0.9183408513703043,0.7464940668824164,0.7850000262260437,0.9103211153870417,0.6067019400352733,0.6949999928474426
none,2028,0.9271831788073989,0.7443683873139534,0.732805324935426,0.9272394203962474,0.9271831788073989,0.9271831788073989,0.0,1.0,0.9485405341775238,0.8587119321018473,0.6499999761581421,0.9262963371579878,0.7167113494191242,0.5899999737739563,0.9339076611763306,0.7715030408340573,0.5600000023841858,0.9173884613926689,0.7508021390374332,0.7400000095367432,0.9097829001324839,0.624113475177305,0.7099999785423279
none,2029,0.9282569471227532,0.7458391481635969,0.7403567445077917,0.9280051096040729,0.9282569471227532,0.9282569471227532,0.0,1.0,0.9494292885340597,0.8685657171414293,0.6650000214576721,0.9282060900264785,0.724233983286908,0.6800000071525574,0.9367152064112293,0.7794245858761988,0.6200000047683716,0.9200099029604639,0.7519294377067255,0.7850000262260437,0.9069242476815342,0.6050420168067226,0.5600000023841858
none,2030,0.9250234705927436,0.7412282988669326,0.7221360325497286,0.9250397344918546,0.9250234705927436,0.9250234705927436,0.0,1.0,0.9462122836446496,0.863905325443787,0.5299999713897705,0.919680052956752,0.7184986595174263,0.7099999785423279,0.932791739201595,0.7799086757990867,0.6949999928474426,0.9171373336871234,0.7523316062176166,0.7099999785423279,0.9092959434735979,0.5914972273567468,0.7549999952316284
none,2031,0.9273140961456479,0.7440898587563451,0.7379617321198596,0.9271496982477186,0.9273140961456479,0.9273140961456479,0.0,1.0,0.9489979441774818,0.8531328320802005,0.6949999928474426,0.9264883053839363,0.7332155477031802,0.6050000190734863,0.9363695567329009,0.7734303912647862,0.6349999904632568,0.91667653803874,0.7445255474452555,0.6800000071525574,0.90803813639518,0.6161449752883031,0.574999988079071
none,2032,0.9255902065361334,0.7443765325495681,0.7343793617576797,0.9257747939280166,0.9255902065361334,0.9255902065361334,0.0,1.0,0.9482655836812256,0.8622871046228711,0.6050000190734863,0.9250353045013238,0.7361853832442068,0.6200000047683716,0.9358693947811476,0.7720588235294118,0.6800000071525574,0.9140586501648914,0.75,0.6949999928474426,0.9047220995520787,0.6013513513513513,0.5450000166893005
none,2033,0.9251709903179337,0.7385741552339551,0.7231303129587799,0.9251432311973569,0.9251709903179337,0.9251709903179337,0.0,1.0,0.945826343957185,0.8534906588003933,0.7549999952316284,0.9241394527802295,0.7254725472547254,0.5,0.9357526521745599,0.7523404255319149,0.48500001430511475,0.9158461582199309,0.7515151515151515,0.6800000071525574,0.9042903444577629,0.610051993067591,0.6949999928474426
none,2034,0.9267178944474379,0.7430515242283275,0.7325426784978426,0.9266049925199088,0.9267178944474379,0.9267178944474379,0.0,1.0,0.9470186369350166,0.8610271903323263,0.7099999785423279,0.9230052956751986,0.7310344827586207,0.5450000166893005,0.9355786828000371,0.7624890446976337,0.5450000166893005,0.9182887305257571,0.7495069033530573,0.574999988079071,0.9096981263011796,0.6112,0.5600000023841858
none,2035,0.9285735048555803,0.7445048174559189,0.7395646115948413,0.9287107009375948,0.9285735048555803,0.9285735048555803,0.0,1.0,0.9481529128356478,0.8553816974869607,0.4399999976158142,0.9269560900264784,0.738073807380738,0.6800000071525574,0.9357434958916904,0.7681779298545766,0.5450000166893005,0.9219383742087108,0.7559523809523809,0.6050000190734863,0.9100766513153745,0.6049382716049383,0.5149999856948853
none,2036,0.9284216018480395,0.7474286206413427,0.7372062712186438,0.9279926708425748,0.9284216018480395,0.9284216018480395,0.0,1.0,0.9505341354824877,0.8642964446670005,0.7250000238418579,0.9275408208296558,0.7419087136929461,0.48500001430511475,0.9357515076392012,0.7749338040600177,0.5299999713897705,0.9195100166786704,0.7369565217391304,0.7850000262260437,0.9087715286101823,0.6190476190476191,0.7250000238418579
none,2037,0.9276900994951494,0.7496109829361107,0.7348836654735633,0.9279481355124704,0.9276900994951494,0.9276900994951494,0.0,1.0,0.9492611230928988,0.8634403449928126,0.5600000023841858,0.9260403795233891,0.7427536231884058,0.6349999904632568,0.936207032711965,0.7692307692307693,0.5899999737739563,0.9166090178537585,0.7460815047021944,0.6800000071525574,0.9103329442937355,0.6265486725663717,0.6650000214576721
none,2038,0.9276005605046871,0.745419396630296,0.7338520641739577,0.9275599293845577,0.9276005605046871,0.9276005605046871,0.0,1.0,0.9468424836354006,0.8615384615384616,0.6349999904632568,0.9218203883495145,0.7241673783091375,0.45500001311302185,0.9352650801117524,0.770949720670391,0.6949999928474426,0.9205559872635609,0.7578288100208769,0.6650000214576721,0.9135188631632074,0.6126126126126126,0.7099999785423279
none,2039,0.9279808517975663,0.742092557468957,0.7329434200706109,0.9278908080656716,0.9279808517975663,0.9279808517975663,0.0,1.0,0.9480789200415369,0.8588410104011887,0.6650000214576721,0.9245476610767872,0.7149489322191273,0.6949999928474426,0.936530936218478,0.7653239929947461,0.574999988079071,0.9215000852886547,0.7487073422957601,0.7099999785423279,0.9092466563623746,0.6226415094339622,0.7099999785423279
